도로명대지위치,주용도코드명,세대수,연면적(㎡),위도,경도,가중치,UTM_X,UTM_Y
경상북도 영주시 영주로231번길 20 (영주동),단독주택,1,629.97,36.8265264621645,128.625503793812,0.7869503475211915,1100371.7752302103,1870404.5985606068
경상북도 영주시 영주로231번길 27 (영주동),단독주택,1,326.01,36.8269602787606,128.625070150675,0.7869503475211915,1100332.5352650639,1870452.2691493514
경상북도 영주시 영주로231번길 27 (영주동),공동주택,0,66.08,36.8269602787606,128.625070150675,1.7972658335281977,1100332.5352650639,1870452.2691493514
경상북도 영주시 영주로231번길 24 (영주동),단독주택,1,501.57,36.8267263324113,128.625580873625,0.7869503475211915,1100378.3882915368,1870426.852336314
경상북도 영주시 영주로231번길 30 (영주동),단독주택,1,401.64,36.8269579007279,128.625606508116,0.7869503475211915,1100380.3718945137,1870452.5685441992
경상북도 영주시 영주로231번길 22 (영주동),단독주택,1,101.91,36.8266559571403,128.625508887398,0.7869503475211915,1100372.0603205322,1870418.9695758398
경상북도 영주시 중앙로 133-2 (영주동),단독주택,1,75.6,36.8271820222582,128.625893353037,1.6094379124341005,1100405.6604592695,1870477.7330256482
경상북도 영주시 중앙로 133-2 (영주동),단독주택,1,36.36,36.8271820222582,128.625893353037,1.6094379124341005,1100405.6604592695,1870477.7330256482
경상북도 영주시 영주로231번길 36 (영주동),단독주택,1,95.41,36.8273170894752,128.625662302711,0.7869503475211915,1100384.8784719722,1870492.4741452597
경상북도 영주시 광복로 68 (영주동),단독주택,1,145.11,36.827619960341,128.625863393942,1.01160091167848,1100402.4163460121,1870526.2846971469
경상북도 영주시 광복로 68 (영주동),단독주택,1,34.03,36.827619960341,128.625863393942,1.01160091167848,1100402.4163460121,1870526.2846971469
경상북도 영주시 명륜길 1 (영주동),단독주택,1,65.52,36.8279097666086,128.626795419409,1.01160091167848,1100485.1566575847,1870559.4142269925
경상북도 영주시 명륜길 13 (영주동),단독주택,1,122.0,36.8283987876496,128.627259477517,0.4006746114383153,1100525.9020000466,1870614.1523535126
경상북도 영주시 광복로73번길 18 (영주동),단독주택,1,46.98,36.8285886675473,128.62694731964,0.7049816382069481,1100497.8152155569,1870634.8885938998
경상북도 영주시 광복로73번길 16 (영주동),단독주택,1,87.34,36.8285011420925,128.62693033504,0.7049816382069481,1100496.4150148795,1870625.1609975747
경상북도 영주시 광복로73번길 17 (영주동),단독주택,1,63.6,36.8285893393045,128.626694143188,0.7049816382069481,1100475.235986114,1870634.6969122018
경상북도 영주시 명륜길 9 (영주동),단독주택,1,83.92,36.8282678282687,128.627190239747,0.5705448584676129,1100519.8986847873,1870599.5513993122
경상북도 영주시 광복로73번길 13-1 (영주동),단독주택,1,47.7,36.8284729347886,128.626680582254,0.7049816382069481,1100474.1788515775,1870621.769188117
경상북도 영주시 광복로73번길 7-1 (영주동),단독주택,1,58.02,36.8281883268271,128.626626473147,1.01160091167848,1100469.7255681742,1870590.1389973501
경상북도 영주시 광복로73번길 3 (영주동),단독주택,1,231.17,36.8280616135661,128.626595882114,1.01160091167848,1100467.163137885,1870576.0497600057
경상북도 영주시 광복로73번길 11 (영주동),단독주택,1,61.67,36.8283624826389,128.62679828164,0.7049816382069481,1100484.819797144,1870609.639800272
경상북도 영주시 광복로73번길 9 (영주동),단독주택,1,49.66,36.8282702123439,128.626779067262,1.01160091167848,1100483.2269289964,1870599.3834882132
경상북도 영주시 광복로73번길 9-1 (영주동),단독주택,1,35.76,36.8282795331258,128.626644431903,0.7049816382069481,1100471.2078689546,1870600.2759507156
경상북도 영주시 광복로73번길 7 (영주동),단독주택,1,58.02,36.8281817470314,128.62675175165,1.01160091167848,1100480.90660575,1870589.5407691584
경상북도 영주시 철탄길 12 (영주동),단독주택,10,474.37,36.8284543128434,128.626540199164,2.419309367302187,1100461.6837781211,1870619.555762674
경상북도 영주시 철탄길 10 (영주동),단독주택,10,460.55,36.828300512458,128.626520354758,2.419309367302187,1100460.1151555043,1870602.4728829954
경상북도 영주시 철탄길 24 (영주동),단독주택,1,95.8,36.8288197589985,128.62646129828,0.7049816382069481,1100454.169524126,1870660.0140092627
경상북도 영주시 철탄길 18 (영주동),단독주택,1,58.81,36.8286323029922,128.626491065676,0.7049816382069481,1100457.0692956087,1870639.2496538353
경상북도 영주시 철탄길 20-1 (영주동),단독주택,1,124.5,36.8287477170909,128.626577009783,0.7049816382069481,1100464.5828869771,1870652.1435914985
경상북도 영주시 철탄길 22 (영주동),단독주택,1,74.16,36.8287550138749,128.626458582468,0.7049816382069481,1100454.0119852785,1870652.8285807222
경상북도 영주시 철탄길 24-8 (영주동),공동주택,8,659.04,36.8287228735965,128.626753011416,2.2181677511814626,1100480.3112244513,1870649.572582804
경상북도 영주시 철탄길34번길 15-2 (영주동),단독주택,1,21.48,36.8295270002619,128.626866431153,0.452899429659666,1100489.3741893903,1870738.8985518701
경상북도 영주시 철탄길34번길 15-2 (영주동),단독주택,1,17.85,36.8295270002619,128.626866431153,0.452899429659666,1100489.3741893903,1870738.8985518701
경상북도 영주시 철탄길34번길 15-3 (영주동),단독주택,1,21.98,36.8294448212414,128.626899884496,0.452899429659666,1100492.4650288422,1870729.817104381
경상북도 영주시 철탄길34번길 15 (영주동),단독주택,1,53.52,36.8293524308668,128.626797278138,0.452899429659666,1100483.4355083457,1870719.4597821196
,단독주택,1,20.54,36.8293650113442,128.626937983309,0.452899429659666,1100495.9670556001,1870721.0033644661
경상북도 영주시 철탄길34번길 23-5 (영주동),단독주택,1,44.13,36.8294367420515,128.627022779535,0.505726857182166,1100503.4352921387,1870729.050066088
경상북도 영주시 철탄길34번길 23-1 (영주동),단독주택,1,41.4,36.8292506002879,128.627127668402,0.505726857182166,1100513.0327462992,1870708.510526604
경상북도 영주시 철탄길34번길 23-1 (영주동),단독주택,0,123.51,36.8292506002879,128.627127668402,1.4292016198199913,1100513.0327462992,1870708.510526604
경상북도 영주시 철탄길34번길 17 (영주동),단독주택,1,78.94,36.8292328977057,128.626867487805,0.452899429659666,1100489.8531188737,1870706.273057093
