code,codename,count,category,method,death_rate_2023,birth_rate_2023
851101,요양병원,37,교육서비스업,prefix,12.9,16.9
293001,주방용 전기 기기 제조업,37,제조업,prefix,6.8,6.6
512212,채소류  서류 및 향신작물류 도매업,36,도매 및 소매업,prefix,13.0,14.5
452131,기타 옥외 시설물 축조관련 전문공사업,36,건설업,prefix,7.6,9.5
451300,산업 생산시설 종합 건설업,36,건설업,prefix,7.6,9.5
315001,일반용 전기 조명장치 제조업,36,제조업,prefix,6.8,6.6
252301,설치용 및 위생용 플라스틱제품 제조업,36,제조업,prefix,6.8,6.6
513410,생활용 포장 및 위생용품  봉투 및 유사 제품 도매업,36,도매 및 소매업,prefix,13.0,14.5
552109,기관 구내식당업,36,숙박 및 음식점업,prefix,14.7,17.2
602305,일반 화물 자동차 운송업,36,운수 및 창고업,prefix,8.8,9.5
713001,그 외 기타 개인 및 가정용품 임대업,35,전문과학기술서비스업,prefix,9.7,14.9
341001,화물 자동차 및 특수 목적용 자동차 제조업,35,제조업,prefix,6.8,6.6
252103,플라스틱 합성피혁 제조업,35,제조업,prefix,6.8,6.6
291300,기어 및 동력전달장치 제조업,35,제조업,prefix,6.8,6.6
749604,그 외 기타 분류 안된 사업 지원 서비스업(기타임가공,35,제조업,keyword(conflict),6.8,6.6
319001,운송장비용 조명장치 제조업,35,제조업,prefix,6.8,6.6
552303,커피 전문점,34,숙박 및 음식점업,prefix,14.7,17.2
361002,기타 목재 가구 제조업,33,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
210200,골판지 제조업,33,제조업,prefix,6.8,6.6
311001,전자코일 변성기 및 기타 전자 유도자 제조업,32,제조업,prefix,6.8,6.6
151102,가금류 가공 및 저장 처리업,31,제조업,prefix,6.8,6.6
523951,예술품 및 골동품 소매업,31,도매 및 소매업,prefix,13.0,14.5
552301,제과점업,30,숙박 및 음식점업,prefix,14.7,17.2
153301,단미사료 및 기타 사료 제조업,29,제조업,prefix,6.8,6.6
749934,무형 재산권 임대업,29,부동산업,keyword(conflict),8.9,10.9
242204,일반용 도료 및 관련제품 제조업,29,제조업,prefix,6.8,6.6
291502,기타 물품 취급장비 제조업,28,제조업,prefix,6.8,6.6
181201,가죽의복 제조업,28,제조업,prefix,6.8,6.6
749911,매니저업,27,"사업시설관리, 사업지원 및 임대 서비스업",prefix(conflict-fallback),12.2,16.0
171109,화학섬유직물 직조업,27,제조업,prefix,6.8,6.6
172109,기타 직물제품 제조업,27,제조업,prefix,6.8,6.6
513992,그 외 기타 생활용품 도매업,26,도매 및 소매업,prefix,13.0,14.5
222102,스크린 인쇄업,26,제조업,prefix,6.8,6.6
242901,접착제 및 젤라틴 제조업,26,제조업,prefix,6.8,6.6
513330,비누 및 세정제 도매업,26,도매 및 소매업,prefix,13.0,14.5
703021,비주거용 건물 개발 및 공급업,26,부동산업,prefix,8.9,10.9
503001,자동차 신품 타이어 및 튜브 판매업,26,도매 및 소매업,prefix,13.0,14.5
452126,내부 전기배선 공사업,26,건설업,prefix,7.6,9.5
523231,셔츠 및 블라우스 소매업,26,도매 및 소매업,prefix,13.0,14.5
630901,택배업,26,운수 및 창고업,prefix,8.8,9.5
523932,운동 및 경기용품 소매업,26,도매 및 소매업,prefix,13.0,14.5
311002,전동기 및 발전기 제조업,26,제조업,prefix,6.8,6.6
369905,단추 및 유사 파스너 제조업,26,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
950000,그 외 기타 달리 분류되지 않은 개인 서비스업,26,"협회 및 단체, 수리 및 기타 개인서비스업",prefix,10.0,13.5
602301,용달 화물 자동차 운송업,26,운수 및 창고업,prefix,8.8,9.5
924101,그 외 기타 스포츠 서비스업,26,"예술, 스포츠 및 여가관련 서비스업",keyword(conflict),13.5,16.2
242906,화약 및 불꽃제품 제조업,26,제조업,prefix,6.8,6.6
512281,기타 신선 식품 및 단순 가공 식품 도매업,26,도매 및 소매업,prefix,13.0,14.5
930925,그 외 기타 달리 분류되지 않은 개인 서비스업,26,"협회 및 단체, 수리 및 기타 개인서비스업",keyword(conflict),10.0,13.5
11000,곡물 및 기타 식량작물 재배업,26,제조업,prefix,6.8,6.6
151200,수산동물 건조 및 염장품 제조업,26,제조업,prefix,6.8,6.6
742106,건물 및 토목 엔지니어링 서비스업(기술사),26,전문과학기술서비스업,keyword(conflict),9.7,14.9
749400,인물 사진 및 행사용 영상 촬영업,26,정보통신업,keyword(conflict),11.0,17.5
523323,통신기기 소매업,26,도매 및 소매업,prefix,13.0,14.5
742101,측량업,26,전문과학기술서비스업,keyword(conflict),9.7,14.9
512289,수산물 가공식품 도매업,26,도매 및 소매업,prefix,13.0,14.5
521911,기타 대형 종합 소매업,26,도매 및 소매업,prefix,13.0,14.5
730005,전기ㆍ전자공학 연구개발업,26,전문과학기술서비스업,prefix,9.7,14.9
314000,축전지 제조업,26,제조업,prefix,6.8,6.6
281106,기타 구조용 금속제품 제조업,25,제조업,prefix,6.8,6.6
621000,항공 여객 운송업,25,운수 및 창고업,prefix,8.8,9.5
749901,문서 작성업,25,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
241106,석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,25,제조업,prefix,6.8,6.6
602309,화물 운송 중개  대리 및 관련 서비스업,25,운수 및 창고업,prefix,8.8,9.5
514220,1차 금속제품 도매업,25,도매 및 소매업,prefix,13.0,14.5
659203,그 외 기타 여신 금융업,25,금융 및 보험업,prefix,9.7,11.9
513430,문구용품  회화용품  사무용품 도매업,25,도매 및 소매업,prefix,13.0,14.5
369301,체조  육상 및 체력 단련용 장비 제조업,25,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
251901,산업용 그 외 비경화 고무제품 제조업,25,제조업,prefix,6.8,6.6
452127,일반 통신 공사업,25,건설업,prefix,7.6,9.5
222101,경 인쇄업,25,제조업,prefix,6.8,6.6
300201,사무용 기계 및 장비 제조업,25,제조업,prefix,6.8,6.6
241200,복합비료 및 기타 화학비료 제조업,25,제조업,prefix,6.8,6.6
269200,정형 내화 요업제품 제조업,25,제조업,prefix,6.8,6.6
514350,도료 도매업,25,도매 및 소매업,prefix,13.0,14.5
289902,금속 캔 및 기타 포장용기 제조업,25,제조업,prefix,6.8,6.6
289208,그 외 기타 금속 가공업,24,제조업,prefix,6.8,6.6
741401,경영 컨설팅업(경영지도사),24,전문과학기술서비스업,keyword(conflict),9.7,14.9
519992,그 외 기타 상품 전문 도매업,24,도매 및 소매업,prefix,13.0,14.5
252200,폴리스티렌 발포 성형제품 제조업,24,제조업,prefix,6.8,6.6
630101,항공 및 육상 화물 취급업,24,운수 및 창고업,prefix,8.8,9.5
512215,채소류  서류 및 향신작물류 도매업,24,도매 및 소매업,prefix,13.0,14.5
452124,건물용 기계ㆍ장비 설치 공사업,24,건설업,prefix,7.6,9.5
369902,사무 및 회화용품 제조업,24,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
154101,떡류 제조업,24,제조업,prefix,6.8,6.6
293002,기타 가정용 전기 기기 제조업,24,제조업,prefix,6.8,6.6
151400,식물성 유지 제조업,24,제조업,prefix,6.8,6.6
523996,애완용 동물 및 관련용품 소매업,24,도매 및 소매업,prefix,13.0,14.5
921503,영화  비디오물 및 방송 프로그램 제작 관련 서비스업,24,정보통신업,keyword(conflict),11.0,17.5
512272,조미료 도매업,24,도매 및 소매업,prefix,13.0,14.5
210102,적층  합성 및 특수 표면처리 종이 제조업,24,제조업,prefix,6.8,6.6
513991,의복 액세서리 및 모조 장신구 도매업,24,도매 및 소매업,prefix,13.0,14.5
381007,기타 소사장제,23,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
