자료생성년월,사업장명,사업자등록번호,사업장가입상태코드 1 등록 2 탈퇴,우편번호,사업장지번상세주소,사업장도로명상세주소,고객법정동주소코드,고객행정동주소코드,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장형태구분코드 1 법인 2 개인,사업장업종코드,사업장업종코드명,적용일자,재등록일자,탈퇴일자,가입자수,당월고지금액,신규취득자수,상실가입자수,매칭_임금체불_사업장명,매칭_단계
2026-02,대광건설 주식회사,313810,1,33492,충청남도 보령시 내항동,충청남도 보령시 여상길,4418010700,4418056500,44,180,107,1,451200,기타 토목 시설물 건설업,1998-10-01,,,14,3990580,0,0,대광건설,2단계_이름일치_시도일치
2026-02,(유)대광건설,404810,1,56173,전북특별자치도 정읍시 수성동,전북특별자치도 정읍시 수성6로,5218010100,5218051000,52,180,101,1,452101,미장  타일 및 방수 공사업,1999-04-01,,,9,2115900,1,0,대광건설,2단계_이름일치_시도일치
2026-02,에스에이치건설 주식회사,313810,1,33455,충청남도 보령시 대천동,충청남도 보령시 대흥로,4418010100,4418052500,44,180,101,1,452101,미장  타일 및 방수 공사업,1999-03-25,,,3,717620,0,0,에스에이치(SH)건설,2단계_이름일치_시도일치
2026-02,동성흥업(주),222810,1,25777,강원특별자치도 동해시 천곡동,강원특별자치도 동해시 감추5길,5117010100,5117051000,51,170,101,1,453000,건설장비 운영업,2001-04-01,,,3,638960,0,0,동성흥업,2단계_이름일치_시도일치
2026-02,(주)원테크,602812,1,47027,부산광역시 사상구 감전동,부산광역시 사상구 낙동대로,2653010500,2653064500,26,530,105,1,351103,선박 구성 부분품 제조업,2001-07-01,,,10,3551020,0,0,원테크,1단계_이름일치_시군구일치
2026-02,에스에이치건설(주),127812,1,32423,충청남도 예산군 예산읍,충청남도 예산군 예산읍 관작중앙길,4481025028,4481025000,44,810,250,1,451101,아파트 건설업,2001-10-26,2004-08-17,,9,2622520,1,0,에스에이치(SH)건설,2단계_이름일치_시도일치
2026-02,네오디자인(주),615812,1,50943,경상남도 김해시 내동,경상남도 김해시 내외중앙로,4825010800,4825054000,48,250,108,1,999999,BIZ_NO미존재사업장,2001-12-01,,,4,798820,0,0,(주)네오디자인,1단계_이름일치_시군구일치
2026-02,주식회사 씨엔에스,126861,1,12768,경기도 광주시 중대동,경기도 광주시 경충대로,4161010800,4161056000,41,610,108,1,514919,기타 화학 물질 및 화학제품 도매업,2008-07-01,,,6,1796960,1,1,(주)대신씨엔에스,4단계_이름포함_시도일치
2026-02,(주)에스앤제이산업,125817,1,17118,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 남사읍 경기동로,4146125922,4146125900,41,461,259,1,361001,금속 가구 제조업,2009-02-01,,,13,4633160,0,1,(주)에스앤제이산업,2단계_이름일치_시도일치
2026-02,주식회사 씨엔에스,113862,1,14441,경기도 부천시 오정구 내동,경기도 부천시 오정구 오정로,4119610800,4119657000,41,196,108,1,519112,상품 종합 도매업,2009-04-01,,,5,902940,0,1,(주)대신씨엔에스,4단계_이름포함_시도일치
