business_id,source_business,label,gubun,t_disclose,shift,coverage,last_month,n_months_observed,turnover_avg_12m,turnover_avg_3m,turnover_max_12m,turnover_std_12m,emp_change_3m,emp_change_6m,emp_change_12m,salary_avg_12m,salary_last,salary_change_6m,salary_change_12m,replacement_avg_12m,replacement_avg_3m,replacement_min_12m,salary_drop_consecutive,turnover_momentum,zero_emp_months,emp_volatility,log_emp_count,firm_age_months,sido_code,industry_category,industry_death_rate_2023,imputed_months_count,imputed_ratio,has_missing_recent_3m
NEG_610818_2024년 2차,NEG_610818,0,2024년 2차,2024-12,0,1.08,2024-06,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444308.0,1353333.0,0.0,-0.3041,1.0,1.0,1.0,1,0.0,0,0.0,1.3863,209,31,"수도, 하수 및 폐기물처리, 원료재생업",5.2,0,0.0,0
NEG_224811_2024년 1차,NEG_224811,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2555692.0,2576889.0,0.0,0.0181,1.0,1.0,1.0,0,0.0,0,0.0,1.3863,247,51,건설업,7.6,0,0.0,0
NEG_860880_2023년 1차,NEG_860880,0,2023년 1차,2023-08,0,0.58,2023-02,7,0.0769,0.0,0.75,0.2137,0.0,0.0,0.0,4157986.0,4055444.0,0.0,-0.065,1.2115,1.0,0.25,1,0.0,0,0.0976,1.6094,14,41,제조업,6.8,6,0.5,1
NEG_721810_2024년 2차,NEG_721810,0,2024년 2차,2024-12,0,1.08,2024-06,13,0.0346,0.0833,0.25,0.0851,0.0,0.0,0.0,1279687.0,1324722.0,0.0,0.3522,0.9615,0.8333,0.5,1,4.1667,0,0.068,1.6094,42,11,전문과학기술서비스업,9.7,0,0.0,0
NEG_741860_2024년 1차,NEG_741860,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0238,0.0556,0.1667,0.0583,0.0,0.0,0.0,3571704.0,3718148.0,0.0,0.0715,1.0,0.8333,0.5,1,3.8889,0,0.0704,1.9459,77,36,건설업,7.6,0,0.0,0
NEG_113815_2024년 2차,NEG_113815,0,2024년 2차,2024-12,0,1.08,2024-06,13,0.011,0.0,0.1429,0.0396,0.0,0.0,-0.1429,3904245.0,4162778.0,0.0,0.2246,0.9615,1.0,0.5,0,0.0,0,0.0803,1.9459,275,11,전문과학기술서비스업,9.7,0,0.0,0
NEG_162810_2024년 1차,NEG_162810,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0154,0.0,0.2,0.0555,0.0,0.0,0.25,4243692.0,4421156.0,0.0,0.1615,1.0769,1.0,1.0,0,0.0,0,0.0775,1.7918,44,11,금융 및 보험업,9.7,0,0.0,0
NEG_802810_2023년 2차,NEG_802810,0,2023년 2차,2023-12,0,0.92,2023-06,11,0.0282,0.0556,0.2,0.0692,0.2,0.2,0.2,1604431.0,1729148.0,0.0336,0.8432,1.1923,1.3333,0.5,1,2.7778,0,0.0729,1.9459,43,41,도매 및 소매업,13.0,2,0.167,0
NEG_780860_2025년 1차,NEG_780860,0,2025년 1차,2025-08,0,0.83,2025-02,10,0.0385,0.0,0.5,0.1387,0.0,0.0,-0.25,2605929.0,2432963.0,0.0,-0.1335,1.0256,1.0,0.3333,1,0.0,0,0.1499,1.3863,58,41,전문과학기술서비스업,9.7,3,0.25,0
NEG_220877_2024년 1차,NEG_220877,0,2024년 1차,2024-08,0,0.75,2024-02,9,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,1255162.0,1884222.0,0.0592,0.0,1.1538,1.3333,1.0,0,0.0,4,0.7161,1.6094,86,11,금융 및 보험업,9.7,4,0.333,0
NEG_313811_2024년 1차,NEG_313811,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0308,0.1333,0.4,0.1109,0.0,0.0,0.0,2682048.0,2524756.0,0.0,-0.1189,0.9487,0.7778,0.3333,1,0.0,0,0.0,1.7918,247,44,전문과학기술서비스업,9.7,0,0.0,0
NEG_211863_2024년 2차,NEG_211863,0,2024년 2차,2024-12,0,1.08,2024-06,13,0.0414,0.1212,0.3636,0.1021,0.0,-0.0833,-0.0833,3095996.0,3182323.0,0.0416,0.0545,1.0154,0.7333,0.2,1,6.9565,0,0.045,2.4849,385,11,도매 및 소매업,13.0,0,0.0,0
NEG_114870_2024년 1차,NEG_114870,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3956551.0,4109444.0,-0.0145,0.1023,1.0,1.0,1.0,1,0.0,0,0.0,1.6094,136,11,교육서비스업,12.9,0,0.0,0
