shap_turnover_avg_12m,shap_turnover_avg_3m,shap_turnover_max_12m,shap_turnover_std_12m,shap_emp_change_3m,shap_emp_change_6m,shap_emp_change_12m,shap_salary_avg_12m,shap_salary_last,shap_salary_change_6m,shap_salary_change_12m,shap_replacement_avg_12m,shap_replacement_avg_3m,shap_replacement_min_12m,shap_salary_drop_consecutive,shap_turnover_momentum,shap_zero_emp_months,shap_emp_volatility,shap_log_emp_count,shap_firm_age_months,shap_industry_death_rate_2023,shap_sido_code,shap_industry_category,shap_imputed_months_count,shap_imputed_ratio,shap_has_missing_recent_3m,business_id,label,source_business
-0.04637792607373126,-0.07569466541390743,-0.09829841173328019,0.039059429903003984,0.09676468198583911,0.04454247851740682,0.13771711777736947,0.27765144323303687,-0.12131910200267103,-0.10501600321144575,0.4407574627303352,-0.09461069055497283,-0.02774543772195378,-0.13309364403772989,0.05831794738463504,0.033689330659621146,0.013722174118773963,-0.051143967931733696,0.03896117153351284,1.016171280232879,0.145892807849788,-0.07125882554601365,0.579251079357557,0.042421887710623496,-0.0024678087880564067,1.0956956599801135,POS_신창기업_2023년 1차_shift-2,1,POS_신창기업_2023년 1차
-0.056293622241145466,-0.07737017524253319,-0.07196564266857432,0.038413287279632634,0.09700808000692705,0.034131951695383585,0.1383816901581726,0.2832663550983446,-0.11128766392482278,0.03908098772313772,0.4402182858017983,-0.247239505696007,-0.03655855312859571,-0.10450749709252953,0.05831794738463504,0.04210310503285722,0.013722174118773963,-0.062669829392968,0.05781968374659175,1.1847636016420324,0.14692226612442244,-0.011730720324353306,0.5786654583802093,0.04680856902631141,-0.0024678087880564067,1.0859278184709904,POS_신창기업_2023년 1차_shift-1,1,POS_신창기업_2023년 1차
-0.1029240928569602,0.056549841910183675,-0.173991344444739,-0.018903193242211222,0.10175388041648205,0.05707588620110718,0.13478002012033014,0.28848301239423263,-0.13319588499596835,0.017927521043468904,0.38889598513266177,-0.2002579278870603,-0.00044350780591100573,-0.14138990312244207,0.022131516080472764,0.10487850344929278,0.013638096338605049,-0.1404562051579752,0.07646687239776712,1.249164694794696,0.1506637873543104,0.05554679130865686,0.5850109462333947,0.02961263656290947,-0.00629426028747172,-0.25147476563752064,POS_신창기업_2023년 1차_shift+0,1,POS_신창기업_2023년 1차
0.008070722233074494,0.04384059075369765,0.10435147031048385,0.030028438835314815,-0.025692568595947207,0.030476528912977453,-0.20934487674189528,0.3285057624203932,-0.06659779751801957,-0.005738795709439876,0.07121306846122469,-0.22478040470270924,0.055043293779150265,-0.12558734511773514,0.021868709417152306,-0.06723231176179657,0.00937546557464488,-0.11029969852543373,0.0761189549002865,1.301546491092045,0.11817199778354955,-0.06342689306604692,0.6385547154008864,0.04649548966463539,-0.015379626920071096,-0.24876621192600704,POS_신창기업_2023년 1차_shift+1,1,POS_신창기업_2023년 1차
-0.1955700715892018,0.033808112069629394,0.0777861667145621,0.047125212681680205,-0.023048087067418573,0.03394577285167279,0.16472655505963446,0.2963661642166403,-0.09162607088471646,-0.001469001360499246,0.25461778694067655,-0.0904964497579188,0.03396266688863141,-0.14739776246878553,0.022588234224215083,-0.20045958147649856,0.010736523236268137,-0.1154138736100758,0.07777587090846699,1.0601541791982623,0.13034732560240508,-0.07034637267780301,0.5613887791755431,0.024576957904861182,-0.00629426028747172,-0.245988810124025,POS_신창기업_2023년 1차_shift+2,1,POS_신창기업_2023년 1차
-0.08515649018746459,0.15189625527421957,-0.10631883967268242,-0.014393767036949437,0.014263900665836287,0.07100860447923442,0.18385403006256384,-0.16880310622242398,0.07798848408504055,0.10126187124807423,0.07311254406782902,0.06789976106565691,0.04836172302045768,-0.16611257134674168,0.012971478468985909,-0.1687353869283346,0.005059780000986963,-0.09959993435086276,-0.060242976554401355,1.2369903003236167,0.1913043606959415,-0.12628578691932987,0.44371692123731254,-0.04667829428319075,0.009190281310424254,-0.23939132379230535,POS_성보건업(주)_2025년 1차_shift-2,1,POS_성보건업(주)_2025년 1차
-0.11154126238771532,0.14239816035757036,-0.11437727626577199,-0.034547260330588275,0.01605773077671905,-0.015499427428409703,0.14038879849048513,-0.17030514224757495,0.06941925028121664,0.4504309160342586,0.06399126378517145,0.0664702711286967,0.0049135917375860965,-0.1676480533999378,0.01320128607058771,-0.15508759350203358,0.005059780000986963,-0.038813402955567206,-0.07587496258818084,1.1450053085737348,0.18388596622155656,-0.14304888398489268,0.4597467504107113,-0.046025890481391295,0.009190281310424254,-0.21730773029271047,POS_성보건업(주)_2025년 1차_shift-1,1,POS_성보건업(주)_2025년 1차
-0.08732788998239953,-0.0913422669383393,-0.08022272275596155,-0.02726287117101417,0.015175818624139864,0.013204251300230277,0.16521086290787357,-0.17501231097146322,0.11081553339994311,-0.047698974534943886,0.0509469526892632,0.06933534056036458,-0.025411106601760325,-0.14426515437065807,0.011823810447476197,0.0677092707865888,0.005059780000986963,0.023586367680483025,-0.06191670711721602,1.2844648145542066,0.14007291347386996,-0.14118733369477873,0.43790957947699377,-0.05186308268429132,0.009190281310424254,-0.23168423394485796,POS_성보건업(주)_2025년 1차_shift+0,1,POS_성보건업(주)_2025년 1차
-0.11877398745751022,-0.08658565990912127,-0.15331582577448735,-0.013584421206044266,-0.006400057730308488,-0.02218123020862017,0.3028565106447353,-0.16496536061980852,0.1079169785279486,0.0584710170331362,0.36370262759059213,0.08050992435167614,-0.01970256372672766,-0.18744002899501608,0.011736122941443964,0.07008843789974457,0.006442652032111913,0.13322558834929935,-0.06997938509197499,1.1972008294908298,0.16242549315330126,-0.16732520888776034,0.4306147116154532,-0.04265947546430094,0.009190281310424254,-0.22323925333939906,POS_성보건업(주)_2025년 1차_shift+1,1,POS_성보건업(주)_2025년 1차
-0.12068126659463167,0.15654374568774077,-0.15780911956036597,0.003408816787866799,-0.007458724560418025,-0.004596265747109163,0.29982128943750136,-0.18934757096821997,0.08163059920424441,0.07279823348627024,0.3277036505310466,-0.026172123000514937,0.03949641603634756,-0.18889850002683825,0.012333098274059854,-0.17565400328401973,0.006442652032111913,0.14617859058723406,-0.09002957471998084,1.1001036032658673,0.1710475225342391,-0.13004450998155598,0.44429144598060666,-0.04484124116282308,0.009190281310424254,-0.21114854905243727,POS_성보건업(주)_2025년 1차_shift+2,1,POS_성보건업(주)_2025년 1차
