model,n_folds,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision@10_mean,precision@10_std,precision@50_mean,precision@50_std,precision@100_mean,precision@100_std
logreg_full,25,0.5932304862243406,0.06491807050366313,0.6339450507256091,0.05138940018992036,0.7800000000000001,0.04082482904638633,0.58,0.053229064742237694,0.526,0.04499999999999997
lightgbm_full,25,0.6731225119627227,0.051962915388682133,0.6771737136950067,0.04616211116217343,0.8079999999999999,0.11874342087037919,0.6696,0.05450382249591919,0.5616,0.023923489154664128
lightgbm_no_imp,25,0.6452268223435914,0.06517776046805238,0.6294977109882182,0.047426299423552636,0.728,0.15416441439796238,0.6264,0.05707305260219865,0.5632,0.041505019776729005
catboost_full,25,0.634529324348464,0.04724796568761561,0.6607297416822209,0.0308007228210466,0.768,0.13759844960366863,0.6392,0.05611892134862655,0.5424,0.04352011029397788
lightgbm_multi_seed,25,0.6851703970597737,0.03943583925968935,0.694837330805105,0.0383112502034675,0.8320000000000001,0.11803954139750518,0.6872,0.035534021256630466,0.5648000000000001,0.02615976554431121
voting_simple,25,0.6283143488060081,0.06768049224907292,0.6643768411459787,0.03666419601592637,0.8200000000000002,0.07637626158259735,0.5920000000000001,0.052599112793531654,0.528,0.050579969684978375
voting_with_seeds,25,0.6308098544709607,0.06815076971406572,0.6655078750013059,0.04393530246436917,0.82,0.07637626158259735,0.6,0.060553007081949835,0.53,0.049581582602145034
voting_trees,25,0.6797554625649448,0.041107261191138604,0.6954635594257621,0.0289736498674487,0.8200000000000002,0.07637626158259735,0.6759999999999999,0.02380476142847614,0.564,0.028577380332470387
voting_weighted,25,0.653182103234781,0.06210830911762357,0.6791294110261282,0.03820488389404338,0.86,0.04999999999999999,0.6439999999999999,0.048989794855663536,0.5419999999999999,0.043493294502332955
