roc_auc,pr_auc,precision@10,precision@50,precision@100,model,rep,fold,n_train,n_val,n_pos_val,experiment
0.6538630377524144,0.652397618186981,0.9,0.64,0.53,lightgbm,0,2,541,135,67,lightgbm_no_imp
0.6031606672519754,0.63886765637753,0.9,0.52,0.53,lightgbm,0,3,541,135,67,lightgbm_no_imp
0.5801141352063214,0.5855673801426465,0.7,0.58,0.53,lightgbm,0,4,541,135,67,lightgbm_no_imp
0.6199134199134199,0.5830348898164504,0.5,0.6,0.58,lightgbm,1,0,540,136,70,lightgbm_no_imp
0.7115891132572432,0.6771914005243709,0.7,0.66,0.61,lightgbm,1,1,541,135,67,lightgbm_no_imp
0.6886523266022827,0.6746341142748115,0.9,0.68,0.55,lightgbm,1,2,541,135,67,lightgbm_no_imp
0.6784460052677789,0.6093721268063883,0.5,0.68,0.6,lightgbm,1,3,541,135,67,lightgbm_no_imp
0.5614574187884109,0.6249445060857247,0.9,0.56,0.51,lightgbm,1,4,541,135,67,lightgbm_no_imp
0.6158008658008658,0.5702889484982099,0.5,0.6,0.6,lightgbm,2,0,540,136,70,lightgbm_no_imp
0.7649253731343283,0.7057815137453474,0.7,0.7,0.61,lightgbm,2,1,541,135,67,lightgbm_no_imp
0.6420105355575065,0.6165806678786967,0.6,0.6,0.55,lightgbm,2,2,541,135,67,lightgbm_no_imp
0.6276338893766462,0.6071051524557023,0.8,0.66,0.53,lightgbm,2,3,541,135,67,lightgbm_no_imp
0.5539947322212467,0.552829522083308,0.7,0.52,0.53,lightgbm,2,4,541,135,67,lightgbm_no_imp
0.6455627705627706,0.6157304815422923,0.6,0.66,0.58,lightgbm,3,0,540,136,70,lightgbm_no_imp
0.6841527655838455,0.6304866985207442,0.8,0.62,0.59,lightgbm,3,1,541,135,67,lightgbm_no_imp
0.734964881474978,0.7211819948609142,1.0,0.66,0.63,lightgbm,3,2,541,135,67,lightgbm_no_imp
0.6443151887620719,0.5789664119593421,0.5,0.66,0.52,lightgbm,3,3,541,135,67,lightgbm_no_imp
0.5321553994732221,0.5731239838780017,0.7,0.6,0.48,lightgbm,3,4,541,135,67,lightgbm_no_imp
0.6435064935064936,0.6506009436883443,0.7,0.64,0.56,lightgbm,4,0,540,136,70,lightgbm_no_imp
0.7155399473222124,0.6582541193419059,0.8,0.68,0.61,lightgbm,4,1,541,135,67,lightgbm_no_imp
0.7394644424934154,0.7294730231607581,1.0,0.74,0.57,lightgbm,4,2,541,135,67,lightgbm_no_imp
0.5994293239683933,0.6418164651087499,0.8,0.62,0.53,lightgbm,4,3,541,135,67,lightgbm_no_imp
0.5463125548726953,0.5919873776366209,0.8,0.52,0.52,lightgbm,4,4,541,135,67,lightgbm_no_imp
0.5800865800865801,0.6292733859350883,0.8,0.62,0.57,catboost,0,0,540,136,70,catboost_full
0.6692273924495171,0.6523350045012437,0.7,0.54,0.61,catboost,0,1,541,135,67,catboost_full
0.6082089552238806,0.6970981031507792,0.9,0.6,0.5,catboost,0,2,541,135,67,catboost_full
0.6420105355575065,0.6645289698037465,0.9,0.58,0.53,catboost,0,3,541,135,67,catboost_full
0.6600087796312555,0.7287078543468062,1.0,0.7,0.5,catboost,0,4,541,135,67,catboost_full
0.5896103896103897,0.6404888844155262,0.8,0.6,0.55,catboost,1,0,540,136,70,catboost_full
0.6839332748024582,0.6602269819501955,0.6,0.72,0.58,catboost,1,1,541,135,67,catboost_full
0.6128182616330115,0.7024410732472178,1.0,0.66,0.47,catboost,1,2,541,135,67,catboost_full
0.7102721685689201,0.639746184283273,0.4,0.64,0.61,catboost,1,3,541,135,67,catboost_full
0.6074407374890255,0.6467371445120229,0.8,0.66,0.49,catboost,1,4,541,135,67,catboost_full
0.5660173160173161,0.639673803180212,0.8,0.58,0.53,catboost,2,0,540,136,70,catboost_full
0.7124670763827918,0.6760677171009848,0.7,0.7,0.59,catboost,2,1,541,135,67,catboost_full
0.6908472344161545,0.7011310286302693,0.7,0.76,0.52,catboost,2,2,541,135,67,catboost_full
0.659350307287094,0.6619679866233165,0.8,0.66,0.54,catboost,2,3,541,135,67,catboost_full
0.6033801580333626,0.6565561904422984,0.8,0.7,0.49,catboost,2,4,541,135,67,catboost_full
0.6222943722943723,0.6679464721300313,0.8,0.62,0.55,catboost,3,0,540,136,70,catboost_full
0.6481562774363477,0.6466323550541881,0.7,0.58,0.58,catboost,3,1,541,135,67,catboost_full
0.6574846356453028,0.6753482182005067,0.8,0.7,0.54,catboost,3,2,541,135,67,catboost_full
0.5965759438103599,0.5846315475435747,0.5,0.6,0.53,catboost,3,3,541,135,67,catboost_full
